title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Shantae: Half-Genie Hero - Friends to the End;Wii U;WayForward;Dec 21, 2017;;;;;;tbd;0;0;0;0;WayForward;;;;;;;https://www.metacritic.com/game/wii-u/shantae-half-genie-hero---friends-to-the-end
The Legend of Zelda: Breath of the Wild - The Champions' Ballad;Wii U;Nintendo;Dec  7, 2017;;;;;;7.4;2;2;0;0;Nintendo;;;;;;;https://www.metacritic.com/game/wii-u/the-legend-of-zelda-breath-of-the-wild---the-champions-ballad
RTO;Wii U;nuGAME;Dec  7, 2017;;;;;;tbd;;;;;nuGAME;;;;;;;https://www.metacritic.com/game/wii-u/rto
Draw a Stickman: EPIC 2;Wii U;Hitcents;Nov 30, 2017;;;;;;tbd;;;;;Hitcents;;;;;;;https://www.metacritic.com/game/wii-u/draw-a-stickman-epic-2
Breakout Defense 2;Wii U;nuGAME;Nov 23, 2017;;;;;;tbd;;;;;nuGAME;;;;;;;https://www.metacritic.com/game/wii-u/breakout-defense-2
Tomeling in Trouble;Wii U;HullBreach Studios;Nov  2, 2017;;;;;;tbd;;;;;HullBreach Studios;;;;;;;https://www.metacritic.com/game/wii-u/tomeling-in-trouble
Just Dance 2018;Wii U;Ubisoft;Oct 24, 2017;;;;;;4.6;3;1;1;1;Ubisoft Paris;;;;;;;https://www.metacritic.com/game/wii-u/just-dance-2018
Volgarr the Viking;Wii U;Crazy Viking Studios;Oct 12, 2017;;;;;;tbd;;;;;Crazy Viking Studios;;;;;;;https://www.metacritic.com/game/wii-u/volgarr-the-viking
Hive Jump;Wii U;Nintendo;Sep 28, 2017;;;;;;tbd;1;1;0;0;Graphite Lab;;;;;;;https://www.metacritic.com/game/wii-u/hive-jump
Super Ultra Star Shooter;Wii U;Ultra Dolphin Revolution;Sep 28, 2017;;;;;;tbd;;;;;Ultra Dolphin Revolution;;;;;;;https://www.metacritic.com/game/wii-u/super-ultra-star-shooter
Earthlock: Festival of Magic;Wii U;Snow Castle Games;Sep 14, 2017;;;;;;tbd;1;0;0;1;Snow Castle Games;;;;;;;https://www.metacritic.com/game/wii-u/earthlock-festival-of-magic
Annihilation;Wii U;TreeFall Studios;Aug 31, 2017;;;;;;tbd;;;;;TreeFall Studios;;;;;;;https://www.metacritic.com/game/wii-u/annihilation
Shantae: Half-Genie Hero - Pirate Queen's Quest;Wii U;WayForward;Aug 29, 2017;;;;;;tbd;0;0;0;0;WayForward;;;;;;;https://www.metacritic.com/game/wii-u/shantae-half-genie-hero---pirate-queens-quest
Flight of Light;Wii U;Crystalline Green Ltd.;Aug  3, 2017;;;;;;tbd;;;;;Crystalline Green Ltd.;;;;;;;https://www.metacritic.com/game/wii-u/flight-of-light
Cubeshift;Wii U;Jace Voracek;Jul 27, 2017;;;;;;tbd;;;;;Jace Voracek;;;;;;;https://www.metacritic.com/game/wii-u/cubeshift
Eba & Egg: A Hatch Trip;Wii U;Giga Drill Games;Jul 20, 2017;;;;;;tbd;;;;;Giga Drill Games, Daniel Morais;;;;;;;https://www.metacritic.com/game/wii-u/eba-egg-a-hatch-trip
Galaxy Blaster;Wii U;RCMADIAX;Jul 20, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/galaxy-blaster
BOX UP;Wii U;RCMADIAX;Jul 13, 2017;;;;;;tbd;;;;;RCMADIAX;;;;;;;https://www.metacritic.com/game/wii-u/box-up
Space Hunted;Wii U;Ultra Dolphin Revolution;Jul  6, 2017;;;;;;tbd;2;0;1;1;Ultra Dolphin Revolution;;;;;;;https://www.metacritic.com/game/wii-u/space-hunted
Revenant Saga;Wii U;Kemco;Jul  6, 2017;;;;;;tbd;;;;;Kemco;;;;;;;https://www.metacritic.com/game/wii-u/revenant-saga
A Day at the Carnival;Wii U;Thornbury Software;Jul  6, 2017;;;;;;tbd;1;0;0;1;Thornbury Software;;;;;;;https://www.metacritic.com/game/wii-u/a-day-at-the-carnival
The Legend of Zelda: Breath of the Wild - The Master Trials;Wii U;Nintendo;Jun 30, 2017;;;;;;6.6;3;2;0;1;Nintendo;;;;;;;https://www.metacritic.com/game/wii-u/the-legend-of-zelda-breath-of-the-wild---the-master-trials
Preston Sterling;Wii U;MiracleBoxGames;Jun 29, 2017;;;;;;tbd;;;;;Animation Arts;;;;;;;https://www.metacritic.com/game/wii-u/preston-sterling
Drop It: Block Paradise!;Wii U;ZeNfA Productions;Jun 22, 2017;;;;;;tbd;;;;;ZeNfA Productions;;;;;;;https://www.metacritic.com/game/wii-u/drop-it-block-paradise!
Daikon Set;Wii U;Butterfly;Jun 22, 2017;;;;;;7.2;2;2;0;0;Butterfly;;;;;;;https://www.metacritic.com/game/wii-u/daikon-set
Mutant Alien Moles of the Dead;Wii U;EnjoyUp Games;Jun 15, 2017;;;;;;tbd;0;0;0;0;Pixel Bones Studios;;;;;;;https://www.metacritic.com/game/wii-u/mutant-alien-moles-of-the-dead
Cars 3: Driven to Win;Wii U;Warner Bros. Interactive Entertainment;Jun 13, 2017;;;;;;2.6;3;0;2;1;Avalanche Software;;;;;;;https://www.metacritic.com/game/wii-u/cars-3-driven-to-win
Cubit The Hardcore Platformer Robot HD;Wii U;CoderChild;Jun  8, 2017;;;;;;tbd;0;0;0;0;CoderChild;;;;;;;https://www.metacritic.com/game/wii-u/cubit-the-hardcore-platformer-robot-hd
SWAP BLOCKS;Wii U;WizByte Games;Jun  1, 2017;;;;;;tbd;0;0;0;0;WizByte Games;;;;;;;https://www.metacritic.com/game/wii-u/swap-blocks
