title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Chain Blaster;3DS;G-STYLE;Jul 25, 2013;;;;;;tbd;2;2;0;0;G-STYLE;;;;;;;https://www.metacritic.com/game/3ds/chain-blaster
Attack of the Friday Monsters! A Tokyo Tale;3DS;Level 5;Jul 18, 2013;77;26;19;7;0;7.6;9;4;3;2;Level 5, Millennium Kitchen;;;;;;;https://www.metacritic.com/game/3ds/attack-of-the-friday-monsters!-a-tokyo-tale
Undead Bowling;3DS;G-STYLE;Jul 18, 2013;61;4;0;4;0;tbd;1;1;0;0;G-STYLE;;;;;;;https://www.metacritic.com/game/3ds/undead-bowling
Robot Rescue 3D;3DS;Teyon;Jul 18, 2013;;;;;;tbd;;;;;Teyon;;;;;;;https://www.metacritic.com/game/3ds/robot-rescue-3d
Turbo: Super Stunt Squad;3DS;D3Publisher;Jul 16, 2013;;;;;;5.2;0;0;0;0;Torus Games;;;;;;;https://www.metacritic.com/game/3ds/turbo-super-stunt-squad
Shin Megami Tensei IV;3DS;Atlus;Jul 16, 2013;83;48;45;3;0;6.1;44;35;6;3;Atlus;Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style;No Online Multiplayer;M;Kazuyuki Yamai;;Ryota Koduka, Toshiki Konishi;https://www.metacritic.com/game/3ds/shin-megami-tensei-iv
Deer Hunting King;3DS;Arc System Works;Jul  4, 2013;;;;;;tbd;;;;;Arc System Works;;;;;;;https://www.metacritic.com/game/3ds/deer-hunting-king
Fishdom H2O: Hidden Odyssey;3DS;Cypronia;Jul  4, 2013;;;;;;tbd;0;0;0;0;Playrix Entertainment;;;;;;;https://www.metacritic.com/game/3ds/fishdom-h2o-hidden-odyssey
Crash City Mayhem;3DS;Majesco Games;Jul  2, 2013;59;6;1;4;1;4.0;0;0;0;0;Climax Entertainment, Rocket Company;;;;;;;https://www.metacritic.com/game/3ds/crash-city-mayhem
Urban Trial Freestyle;3DS;Tate Multimedia;Jun 27, 2013;64;22;3;16;3;7.9;5;2;3;0;Strangelands Ltd.;;;;;;;https://www.metacritic.com/game/3ds/urban-trial-freestyle
Kokuga;3DS;G.Rev;Jun 27, 2013;77;14;11;3;0;7.5;1;1;0;0;G.Rev;;;;;;;https://www.metacritic.com/game/3ds/kokuga
Gabrielle's Ghostly Groove Mini;3DS;Natsume;Jun 27, 2013;;;;;;tbd;;;;;Asgard;;;;;;;https://www.metacritic.com/game/3ds/gabrielles-ghostly-groove-mini
LEGO Legends of Chima: Laval's Journey;3DS;Warner Bros. Interactive Entertainment;Jun 25, 2013;65;5;1;4;0;3.6;1;0;0;1;TT Games;Action, General, General;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/3ds/lego-legends-of-chima-lavals-journey
