title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;category;is_portable;is_exclusive
Salt and Sanctuary;PlayStation 4;Ska Studios;2016-03-15;84.0;56;51;5;0;81.02;76;65;6;5;Ska Studios;Action, Platformer, 2D;No Online Multiplayer;M;;;;75-89;0;0
Salvo!;PC;Shrapnel Games;2005-07-05;58.0;5;0;4;1;0.0;0;0;0;0;Spruegames;;;;;;;50-74;0;1
Sam & Max Episode 101: Culture Shock;PC;GameTap;2006-10-18;81.0;47;41;6;0;76.99;5;5;0;0;Telltale Games;3D, Point-and-Click, Adventure, General, Third-Person;No Online Multiplayer;T;;Brendan Q. Ferguson, Dave Grossman;;75-89;0;1
Sam & Max Episode 102: Situation: Comedy;PC;GameTap;2006-12-20;79.0;36;28;8;0;73.98;2;2;0;0;Telltale Games;3D, Point-and-Click, Adventure, General, Third-Person;No Online Multiplayer;T;;Brendan Q. Ferguson, Dave Grossman;;75-89;0;1
Sam & Max Episode 103: The Mole, the Mob and the Meatball;PC;Telltale Games;2007-01-25;74.0;30;17;13;0;75.0;6;4;1;1;Telltale Games;;No Online Multiplayer;;;;;50-74;0;1
Sam & Max Episode 104: Abe Lincoln Must Die!;PC;Telltale Games;2007-02-22;80.0;24;20;4;0;76.02;13;10;1;2;Telltale Games;;No Online Multiplayer;;;;;75-89;0;1
Sam & Max Episode 105: Reality 2.0;PC;GameTap;2007-03-29;82.0;23;20;3;0;76.02;2;2;0;0;Telltale Games;;No Online Multiplayer;;;;;75-89;0;1
Sam & Max Episode 106: Bright Side of the Moon;PC;GameTap;2007-04-26;79.0;26;21;5;0;73.98;1;1;0;0;Telltale Games;3D, Point-and-Click, Adventure, General, Third-Person;No Online Multiplayer;T;;;;75-89;0;1
Sam & Max Episode 201: Ice Station Santa;PC;Telltale Games;2007-11-08;82.0;32;29;3;0;85.0;3;3;0;0;Telltale Games;3D, Point-and-Click, Adventure, General, Third-Person;No Online Multiplayer;T;;;;75-89;0;1
Sam & Max Episode 202: Moai Better Blues;PC;Telltale Games;2008-01-10;80.0;30;25;5;0;76.02;3;0;3;0;Telltale Games;3D, Point-and-Click, Adventure, General, Third-Person;No Online Multiplayer;T;;;;75-89;0;1
Sam & Max Episode 203: Night of the Raving Dead;PC;Telltale Games;2008-02-12;79.0;26;19;7;0;76.99;2;1;1;0;Telltale Games;3D, Point-and-Click, Adventure, General, Third-Person;No Online Multiplayer;T;;;;75-89;0;1
Sam & Max Episode 204: Chariots of the Dogs;PC;Telltale Games;2008-03-13;85.0;23;18;5;0;75.0;2;2;0;0;Telltale Games;3D, Point-and-Click, Adventure, General, Third-Person;No Online Multiplayer;T;;;;75-89;0;1
Sam & Max Episode 205: What's New, Beelzebub?;PC;Telltale Games;2008-04-10;85.0;20;19;1;0;75.0;3;2;0;1;Telltale Games;3D, Point-and-Click, Adventure, General, Third-Person;No Online Multiplayer;T;;;;75-89;0;1
Sam & Max: Beyond Time and Space;Wii;Atari;2010-03-16;64.0;5;2;2;1;0.0;0;0;0;0;Telltale Games;3D, General, Point-and-Click, Miscellaneous, Adventure, Compilation, Third-Person;No Online Multiplayer;T;;;;50-74;0;0
Sam & Max: Beyond Time and Space;Xbox 360;Microsoft Game Studios;2009-10-14;75.0;23;17;5;1;78.01;1;1;0;0;Telltale Games;;;;;;;75-89;0;0
Sam & Max: Save the World;Xbox 360;Microsoft Game Studios;2009-06-17;74.0;24;13;11;0;75.0;1;0;0;1;Telltale Games;3D, General, Point-and-Click, Miscellaneous, Adventure, Compilation, Third-Person;No Online Multiplayer;T;;;;50-74;0;1
Sam & Max: Season One;Wii;DreamCatcher Interactive;2008-10-15;74.0;34;15;19;0;82.97;2;1;1;0;Telltale Games;3D, General, Point-and-Click, Miscellaneous, Adventure, Compilation, Third-Person;No Online Multiplayer;T;;;;50-74;0;0
