title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
The Polar Express;;THQ;Nov  2, 2004;40;7;0;3;4;4.7;5;2;1;2;Blue Tongue Entertainment;Action Adventure, Fantasy;1 Player;E;;;;https://www.metacritic.com/game/gamecube/the-polar-express
The Lord of the Rings: The Third Age;;EA Games;Nov  2, 2004;74;25;14;11;0;7.8;4;4;0;0;EA Games;Role-Playing, Console-style RPG;1-2;T;;;;https://www.metacritic.com/game/gamecube/the-lord-of-the-rings-the-third-age
The Incredibles;;THQ;Oct 31, 2004;63;27;2;24;1;6.5;3;3;0;0;Heavy Iron Studios;Action Adventure, Modern;1 Player;T;Shiraz Akmal;;;https://www.metacritic.com/game/gamecube/the-incredibles
The SpongeBob SquarePants Movie;;THQ;Oct 27, 2004;73;9;4;5;0;7.6;12;10;2;0;Heavy Iron Studios;Action, Platformer, 3D;1 Player;E;;;;https://www.metacritic.com/game/gamecube/the-spongebob-squarepants-movie
Teenage Mutant Ninja Turtles 2: Battle Nexus;;Konami;Oct 19, 2004;49;16;0;9;7;5.7;4;1;1;2;Konami;Action, Beat-'Em-Up;1-4;T;;;;https://www.metacritic.com/game/gamecube/teenage-mutant-ninja-turtles-2-battle-nexus
Ty the Tasmanian Tiger 2: Bush Rescue;;EA Games;Oct 12, 2004;70;20;8;12;0;8.4;7;6;1;0;Krome Studios;Action, Platformer, 3D;1-2;E;;;;https://www.metacritic.com/game/gamecube/ty-the-tasmanian-tiger-2-bush-rescue
FIFA Soccer 2005;;EA Sports;Oct 12, 2004;78;22;15;7;0;8.5;4;3;1;0;EA Canada;Sports, Traditional, Soccer, Sim;1-4;E;;;;https://www.metacritic.com/game/gamecube/fifa-soccer-2005
Paper Mario: The Thousand-Year Door;;Nintendo;Oct 11, 2004;87;55;53;2;0;9.1;101;98;1;2;Intelligent Systems;Role-Playing, Console-style RPG;1 Player;E;Ryota Kawade;;;https://www.metacritic.com/game/gamecube/paper-mario-the-thousand-year-door
Tak 2: The Staff of Dreams;;THQ;Oct 11, 2004;75;22;12;10;0;8.8;5;4;1;0;Avalanche Software;Action, Platformer, 3D;1-2;E;;;;https://www.metacritic.com/game/gamecube/tak-2-the-staff-of-dreams
Midway Arcade Treasures 2;;Midway;Oct 11, 2004;74;21;12;8;1;7.3;3;1;2;0;Backbone Entertainment;Miscellaneous, Compilation;1-4;M;;;;https://www.metacritic.com/game/gamecube/midway-arcade-treasures-2
