title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Digimon Story Cyber Sleuth: Hacker's Memory;PlayStation Vita;Bandai Namco Games;Jan 19, 2018;;;;;;7.4;1;1;0;0;Media Vision;Role-Playing, Japanese-Style;2;T;;;Masafumi Takada;https://www.metacritic.com/game/playstation-vita/digimon-story-cyber-sleuth-hackers-memory
Energy Invasion;PlayStation Vita;Sometimes You;Jan 10, 2018;;;;;;tbd;0;0;0;0;Sometimes You;Action, Arcade;No Online Multiplayer;E;;;;https://www.metacritic.com/game/playstation-vita/energy-invasion
The Count Lucanor;PlayStation Vita;Merge Games;Jan  9, 2018;;;;;;tbd;0;0;0;0;Merge Games;;;;;;;https://www.metacritic.com/game/playstation-vita/the-count-lucanor
Little Red Lie;PlayStation Vita;WZOGI;Jan  9, 2018;;;;;;tbd;;;;;WZOGI;Adventure, General;No Online Multiplayer;M;;;;https://www.metacritic.com/game/playstation-vita/little-red-lie
Vegas Party;PlayStation Vita;Funbox Media;Jan  3, 2018;;;;;;tbd;;;;;Funbox Media;;;;;;;https://www.metacritic.com/game/playstation-vita/vegas-party
Gunhouse;PlayStation Vita;Necrosoft Games;Dec 19, 2017;;;;;;tbd;1;1;0;0;Necrosoft Games;;;;;;;https://www.metacritic.com/game/playstation-vita/gunhouse
Xenon Valkyrie+;PlayStation Vita;COWCAT;Dec 19, 2017;62;5;1;3;1;8.5;0;0;0;0;Diabolical Mind, COWCAT;;;;;;;https://www.metacritic.com/game/playstation-vita/xenon-valkyrie+
Romancing SaGa 2;PlayStation Vita;Square Enix;Dec 15, 2017;;;;;;tbd;;;;;Square Enix;;;;;;;https://www.metacritic.com/game/playstation-vita/romancing-saga-2
Super Hydorah;PlayStation Vita;Abylight;Dec 13, 2017;;;;;;tbd;0;0;0;0;Locomalito;;;;;;;https://www.metacritic.com/game/playstation-vita/super-hydorah
One More Dungeon;PlayStation Vita;Ratalaika Games;Dec 12, 2017;;;;;;tbd;0;0;0;0;Ratalaika Games;;;;;;;https://www.metacritic.com/game/playstation-vita/one-more-dungeon
